arm,model_seed,split_seed,joint,coverage,selective,pixel_acc,component_acc
clean_selfnorm,1,7,8.399758454106282,74.54317632850241,11.268313033898101,78.76246537396122,79.0421497584541
clean_selfnorm,1,8,9.077536231884057,75.22028985507247,12.067935725020229,78.57972972972973,78.56521739130436
clean_selfnorm,1,9,8.702596618357488,75.77946859903383,11.48410879522642,78.90508021390374,78.85549516908212
clean_selfnorm,2,0,11.748792270531402,78.118115942029,15.039779350605578,76.52328767123288,76.60688405797099
clean_selfnorm,2,1,8.87608695652174,74.03894927536231,11.988402109152304,78.19562146892656,78.30869565217391
clean_selfnorm,2,2,9.384057971014494,76.48037439613525,12.269890210538371,78.49318801089919,78.74649758454105
clean_selfnorm,2,3,9.19782608695652,75.56105072463768,12.172708027149556,78.61440677966101,78.65072463768115
clean_selfnorm,2,4,9.933695652173915,76.33611111111111,13.013101542093116,77.63533333333334,77.76485507246375
clean_selfnorm,2,5,10.078804347826086,76.75942028985507,13.130381013518615,77.8598901098901,78.10760869565215
clean_selfnorm,2,6,9.918115942028985,76.05036231884058,13.041510440735781,77.86699164345404,77.98985507246378
clean_selfnorm,2,7,8.90169082125604,75.79190821256039,11.74490922736899,78.66135734072022,78.98200483091786
clean_selfnorm,2,8,8.479347826086956,73.78876811594203,11.491380114604457,78.63581081081081,78.6496376811594
clean_selfnorm,2,9,9.089190821256041,75.89921497584541,11.975342332787811,78.52874331550802,78.5550724637681
clean_selfnorm,3,0,11.47753623188406,75.35797101449275,15.230686385753028,74.90547945205479,75.0165458937198
clean_selfnorm,3,1,9.02409420289855,73.45923913043478,12.284491793980196,77.40607344632768,77.47173913043478
clean_selfnorm,3,2,8.784359903381642,74.16751207729469,11.843945761894913,77.62057220708446,77.64842995169083
clean_selfnorm,3,3,9.181159420289852,75.37155797101447,12.181198939553084,78.39265536723164,78.39202898550724
clean_selfnorm,3,4,11.21195652173913,77.45495169082126,14.475454799189805,76.73266666666667,76.87089371980676
clean_selfnorm,3,5,10.671195652173914,76.81340579710145,13.892361029221009,76.82005494505495,76.90144927536231
clean_selfnorm,3,6,10.496557971014493,76.96195652173914,13.638631923357577,77.42061281337047,77.47028985507247
clean_selfnorm,3,7,8.817391304347828,73.9580917874396,11.922145489758696,77.59626038781164,78.03858695652174
clean_selfnorm,3,8,9.527173913043478,74.19999999999997,12.839857025665069,77.5445945945946,77.41847826086956
clean_selfnorm,3,9,8.492149758454106,75.5632850241546,11.238460259819966,78.77673796791443,78.67614734299515
clean_selfnorm,4,0,11.230917874396136,77.62934782608697,14.46736084857593,76.83150684931506,76.94299516908212
clean_selfnorm,4,1,8.738586956521738,74.51992753623189,11.726510271058707,78.31497175141243,78.4141304347826
clean_selfnorm,4,2,9.568236714975844,76.17590579710145,12.560712754058152,78.22002724795641,78.43623188405797
clean_selfnorm,4,3,8.690579710144926,75.03786231884057,11.581592867368888,78.84887005649718,78.88297101449275
clean_selfnorm,4,4,9.404347826086955,75.30978260869567,12.487551418055851,78.152,78.34190821256037
clean_selfnorm,4,5,10.32536231884058,76.64764492753623,13.471206230279254,77.48420329670328,77.7213768115942
clean_selfnorm,4,6,9.248731884057971,75.89692028985505,12.185911956290836,78.21100278551532,78.3481884057971
clean_selfnorm,4,7,8.730072463768119,74.7860507246377,11.673396815553549,78.95706371191136,79.33707729468598
clean_selfnorm,4,8,8.795652173913043,75.21195652173913,11.6944865958523,78.86554054054054,78.90942028985508
clean_selfnorm,4,9,9.006340579710145,76.22083333333333,11.816114027936559,78.93248663101605,78.9701690821256
clean_selfnorm,5,0,10.559057971014491,77.73297101449276,13.583757102305826,77.48698630136987,77.51099033816425
clean_selfnorm,5,1,8.636775362318842,75.306884057971,11.468772702997882,78.42867231638418,78.55797101449275
clean_selfnorm,5,2,9.543719806763287,77.62173913043478,12.295163589063778,78.40326975476839,78.62173913043479
clean_selfnorm,5,3,8.991485507246376,76.21159420289855,11.798054615296845,78.79802259887005,78.8213768115942
clean_selfnorm,5,4,9.15326086956522,77.01316425120773,11.885319813257352,79.00333333333333,79.12113526570049
clean_selfnorm,5,5,10.396014492753622,78.0588768115942,13.318170741613189,77.60989010989012,77.8141304347826
