arm,seed,split,joint
full,7,6,10.159420289855072
full,7,7,8.595531400966184
full,7,8,9.39565217391304
full,7,9,8.828079710144927
full,8,0,10.655072463768116
full,8,1,8.353260869565219
full,8,2,9.719384057971011
full,8,3,8.856521739130436
full,8,4,9.127294685990337
full,8,5,9.522826086956519
full,8,6,9.572463768115941
full,8,7,8.934963768115942
full,8,8,9.285507246376813
full,8,9,9.222403381642513
full,9,0,11.283937198067633
full,9,1,9.423007246376812
full,9,2,11.097524154589372
full,9,3,9.532608695652172
full,9,4,10.208695652173914
full,9,5,9.331340579710146
full,9,6,10.334420289855073
full,9,7,9.550905797101448
full,9,8,10.721376811594203
full,9,9,9.719685990338164
n08,0,0,13.764130434782606
n08,0,1,18.278442028985506
n08,0,2,13.964734299516909
n08,0,3,11.49764492753623
n08,0,4,9.33816425120773
n08,0,5,12.262862318840579
n08,0,6,21.1661231884058
n08,0,7,13.45579710144928
n08,0,8,14.327536231884059
n08,0,9,9.778442028985507
n08,1,0,11.831400966183574
n08,1,1,10.941847826086956
n08,1,2,12.890579710144928
n08,1,3,13.493840579710142
n08,1,4,9.065217391304348
n08,1,5,10.704710144927535
n08,1,6,9.566847826086958
n08,1,7,12.344504830917874
n08,1,8,12.607971014492755
n08,1,9,9.360809178743962
n08,2,0,20.60640096618358
n08,2,1,10.360144927536233
n08,2,2,12.425422705314011
n08,2,3,11.385507246376811
n08,2,4,13.748429951690822
n08,2,5,13.45942028985507
n08,2,6,13.200724637681155
n08,2,7,11.567572463768116
n08,2,8,14.334782608695651
n08,2,9,13.097222222222223
n08,3,0,14.327536231884059
n08,3,1,8.332971014492752
n08,3,2,11.677355072463769
n08,3,3,17.745289855072464
n08,3,4,10.214130434782609
n08,3,5,15.068478260869563
n08,3,6,15.324637681159418
n08,3,7,14.542693236714973
n08,3,8,11.921739130434782
n08,3,9,12.694142512077294
n08,4,0,12.223671497584544
n08,4,1,12.204891304347827
n08,4,2,13.969746376811596
n08,4,3,10.180072463768116
n08,4,4,10.495048309178744
n08,4,5,12.888224637681159
n08,4,6,11.758514492753624
n08,4,7,10.77457729468599
n08,4,8,11.741666666666669
n08,4,9,9.17457729468599
n08,5,0,12.972826086956523
n08,5,1,12.31449275362319
n08,5,2,11.858937198067633
n08,5,3,12.278804347826085
n08,5,4,15.429710144927538
n08,5,5,16.82699275362319
n08,5,6,12.638949275362323
n08,5,7,11.165398550724635
n08,5,8,17.747826086956522
n08,5,9,18.862318840579707
n08,6,0,13.115821256038648
n08,6,1,13.745289855072466
n08,6,2,13.026630434782607
n08,6,3,22.106159420289856
n08,6,4,12.60072463768116
n08,6,5,16.12608695652174
n08,6,6,10.182065217391306
n08,6,7,15.662137681159422
n08,6,8,10.931884057971013
n08,6,9,14.074094202898552
n08,7,0,10.803985507246376
n08,7,1,10.21286231884058
n08,7,2,13.544685990338168
n08,7,3,11.318297101449277
n08,7,4,17.894082125603866
n08,7,5,14.83786231884058
n08,7,6,14.906521739130433
n08,7,7,14.681582125603864
n08,7,8,9.409420289855074
n08,7,9,11.46413043478261
n08,8,0,11.592270531400969
n08,8,1,9.561050724637681
n08,8,2,15.32355072463768
n08,8,3,10.547644927536233
n08,8,4,12.728985507246382
n08,8,5,11.00199275362319
n08,8,6,17.240036231884055
n08,8,7,10.00193236714976
n08,8,8,10.298188405797102
n08,8,9,11.426328502415458
n08,9,0,14.869202898550727
n08,9,1,14.281340579710141
n08,9,2,15.422524154589373
n08,9,3,10.618478260869564
n08,9,4,16.193236714975846
n08,9,5,12.822644927536237
n08,9,6,9.97536231884058
n08,9,7,11.336896135265702
n08,9,8,13.38260869565217
n08,9,9,11.677717391304347
n16,0,0,14.560869565217391
n16,0,1,7.846557971014493
n16,0,2,8.559480676328503
n16,0,3,13.328260869565215
n16,0,4,10.310024154589371
n16,0,5,12.522826086956524
n16,0,6,11.679710144927538
n16,0,7,9.977294685990339
n16,0,8,10.613405797101452
n16,0,9,9.91376811594203
n16,1,0,12.857367149758456
n16,1,1,8.12228260869565
n16,1,2,9.828683574879227
n16,1,3,12.092753623188406
n16,1,4,10.864492753623187
n16,1,5,8.302898550724638
n16,1,6,11.339130434782609
n16,1,7,13.215942028985506
n16,1,8,11.97463768115942
